Register Address,WLAN_HP_TX,WLAN_HP_RX,WLAN_LP_RX,BLE_LP_1M0dBm_TX,BLE_LP_2M0dBm_TX,BLE_LP_1M10dBm_TX,BLE_LP_2M10dBm_TX,BLE_HP_1M_TX,BLE_HP_2M_TX
Register:ULP ANALOG SPI,,,,,,,,,
140,    '0088000',    '0088000',    '0088000',,,,,,
141,    '00FF800',    '00FF800',    '00FF800',,,,,,
142,    '0080200',    '0080200',    '0080200',,,,,,
342,    '0080200',    '0080200',    '0080200',,,,,,
143,    '0000000',    '0000000',    '0000000',,,,,,
144,    '0000022',    '0000022',    '0000022',,,,,,
1C0,    '0088000',    '0088000',    '0088000',,,,,,
1C1,    '00FF800',    '00FF800',    '00FF800',,,,,,
1C3,    '0000000',    '0000000',    '0000000',,,,,,
Register:BOD,,,,,,,,,
1E0,    '0000000',    '0000000',    '0000000',,,,,,
1E1,    '0000000',    '0000000',    '0000000',,,,,,
1E2,    '0000000',    '0000000',    '0000000',,,,,,
1E3,    '0000000',    '0000000',    '0000000',,,,,,
1E4,    '0000000',    '0000000',    '0000000',,,,,,
Register:CLOCKS,,,,,,,,,
100,    '000C5F8',    '000C5F8',    '000C5F8',,,,,,
101,    '01F4000',    '01F4000',    '01F4000',,,,,,
102,    '02CB000',    '02CB000',    '02CB000',,,,,,
103,    '0168DA4',    '0168DA4',    '0168DA4',,,,,,
104,    '0168B40',    '0168B40',    '0168B40',,,,,,
105,    '0047220',    '0047220',    '0047220',,,,,,
106,    '0050000',    '0050000',    '0050000',,,,,,
107,    '0005A14',    '0005A14',    '0005A14',,,,,,
108,    '0000000',    '0000000',    '0000000',,,,,,
109,    '0000000',    '0000000',    '0000000',,,,,,
10A,    '0000000',    '0000000',    '0000000',,,,,,
10B,    '0000000',    '0000000',    '0000000',,,,,,
10E,    '00E2000',    '00E2000',    '00E2000',,,,,,
1A0,    '02D0EC1',    '02D0EC1',    '02D0EC1',,,,,,
1A1,    '008ED40',    '008ED40',    '008ED40',,,,,,
Register:ADC+DAC,,,,,,,,,
110,    '0000000',    '0000000',    '0000000',,,,,,
111,    '0000000',    '0000000',    '0000000',,,,,,
112,    '0000000',    '0000000',    '0000000',,,,,,
11A,    '0000000',    '0000000',    '0000000',,,,,,
Register:WURX,,,,,,,,,
80,    '0000000',    '0000000',    '0000000',,,,,,
81,    '0000000',    '0000000',    '0000000',,,,,,
82,    '0000000',    '0000000',    '0000000',,,,,,
83,    '0000000',    '0000000',    '0000000',,,,,,
84,    '0000000',    '0000000',    '0000000',,,,,,
85,    '0000000',    '0000000',    '0000000',,,,,,
86,    '0000000',    '0000000',    '0000000',,,,,,
87,    '0000000',    '0000000',    '0000000',,,,,,
88,    '0000000',    '0000000',    '0000000',,,,,,
89,    '0000000',    '0000000',    '0000000',,,,,,
8A,    '0000000',    '0000000',    '0000000',,,,,,
8B,    '0000000',    '0000000',    '0000000',,,,,,
8C,    '0000000',    '0000000',    '0000000',,,,,,
8D,    '0000000',    '0000000',    '0000000',,,,,,
8E,    '0000000',    '0000000',    '0000000',,,,,,
8F,    '0000000',    '0000000',    '0000000',,,,,,
90,    '0000000',    '0000000',    '0000000',,,,,,
91,    '0000000',    '0000000',    '0000000',,,,,,
92,    '0000000',    '0000000',    '0000000',,,,,,
93,    '0000000',    '0000000',    '0000000',,,,,,
94,    '0000000',    '0000000',    '0000000',,,,,,
95,    '0000000',    '0000000',    '0000000',,,,,,
96,    '0000000',    '0000000',    '0000000',,,,,,
97,    '0000000',    '0000000',    '0000000',,,,,,
98,    '0000000',    '0000000',    '0000000',,,,,,
99,    '0000000',    '0000000',    '0000000',,,,,,
9A,    '0000000',    '0000000',    '0000000',,,,,,
9B,    '0000000',    '0000000',    '0000000',,,,,,
Register:ULP BG,,,,,,,,,
125,    '020000C',    '020000C',    '020000C',,,,,,
126,    '03F002F',    '03F002F',    '03F002F',,,,,,
127,    '0200880',    '0200880',    '0200880',,,,,,
128,    '0200420',    '0200420',    '0200420',,,,,,
129,    '0058000',    '0058000',    '0058000',,,,,,
12A,    '03E0001',    '03E0001',    '03E0001',,,,,,
12B,    '0000011',    '0000011',    '0000011',,,,,,
Register:PMU SPI,,,,,,,,,
1D0,    '01700BF',    '01700BF',    '01700BF',,,,,,
1D1,    '00CA00A',    '00CA00A',    '00CA00A',,,,,,
1D2,    '00E6026',    '00E6026',    '00E6026',,,,,,
1D3,    '0008320',    '0008320',    '0008320',,,,,,
1D4,    '0000000',    '0000000',    '0000000',,,,,,
1D5,    '009F800',    '009F800',    '009F800',,,,,,
1D6,    '00030CB',    '00030CB',    '00030CB',,,,,,
1D7,    '00007CF',    '000072E',    '000054F',,,,,,
1D8,    '0001804',    '0001804',    '0001804',,,,,,
1D9,    '0000004',    '0000004',    '0000004',,,,,,
1DA,    '0002818',    '0002818',    '0002818',,,,,,
1DB,    '0000000',    '0000000',    '0000000',,,,,,
1DC,    '03352E4',    '03352E4',    '03352E4',,,,,,
1DD,    '02224DA',    '02224DA',    '02224DA',,,,,,
1DE,    '0000129',    '0000129',    '0000129',,,,,,
1DF,    '4020000',    '4020000',    '4020000',,,,,,
1CF,    '0000000',    '0000000',    '0000000',,,,,,
1CE,    '0000006',    '0000006',    '0000006',,,,,,
